Project,Year,Survey,Month,Date,Station,Time,TowDuration,Region,TideCode,DepthBottom,CondSurf,PPTSurf,CondBott,PPTBott,TempSurf,TempBottom,Secchi,Turbidity,Microcystis,TotalMeter,MeterEstimated,Volume,Acanthomysis_aspera,Hyperacanthomysis_longirostris,Acanthomysis_hwanhaiensis,Alienacanthomysis_macropsis,Deltamysis_holmquistae,Neomysis_kadiakensis,Neomysis_mercedis,Unidentified_Mysid,Americorophium_spinicorne,Americorophium_stimpsoni,Ampelisca_abdita,Corophium_alienense,Crangonyx_sp,Gammarus_daiberi,Grandidierella_japonica,Hyalella_sp,Unidentified_Amphipod,Unidentified_Corophium,Unidentified_Gammarus
STN,2018,3,7,7/11/2018,Honk,10:16,10,Suisun Bay (Honker),3,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,31314,Y,52.17,0,0.56,0,0,0,0.42,0,0,0.04,0,0,0,0,0.04,NA,0,0,0,0
STN,2018,4,7,7/26/2018,Mont,9:33,10,Suisun Bay (Mont. Sl.),2,4.9,8957,5,8980,5,21.8,21.7,38,35.2,1,33282,N,55.45,0,4.69,0,0,0,0.72,0,0,0.05,0.02,0,0,0,0.25,NA,0,0,0,0
STN,2018,4,7,7/27/2018,Honk,12:09,10,Suisun Bay (Honker),2,0.9,11239,6.4,12550,7.2,20.6,20.6,18,79.8,1,29346,N,48.89,0,21.92,0,0,0,0.33,0,0,0.41,0,0,0,0,0.49,NA,0,0,0.16,0
STN,2018,5,8,8/8/2018,Honk,10:25,10,Suisun Bay (Honker),4,1.2,1212,0.6,NA,NA,19.9,NA,24,55.6,1,34164,N,56.92,0,0.91,0,0,0,0.46,0,0,0.02,0,0,0,0,0,NA,0,0,0,0
STN,2018,5,8,8/9/2018,Mont,8:15,10,Suisun Bay (Mont. Sl.),2,4.3,3658,1.9,3670,1.9,20.9,20.5,25,47.8,1,24975,N,41.61,0,3.53,0,0,0,0.94,0,0,0.05,0.02,0,0.02,0,0.07,NA,0,0,0.02,0
STN,2018,6,8,8/22/2018,Honk,12:44,10,Suisun Bay (Honker),4,1.5,13333,7.7,13071,7.5,19.9,19.9,37,28,1,19397,N,32.32,0,1.05,0,0,0,0.74,0,0,0,0,0,0,0,0,NA,0,0,0,0
STN,2018,6,8,8/23/2018,Mont,8:23,10,Suisun Bay (Mont. Sl.),2,4.6,5734,3.1,5852,3.2,19.9,19.6,27,48.1,1,26360,N,43.92,0,1.84,0,0,0.02,0.27,0,0.02,0.09,0.05,0,0,0,0.07,NA,0,0,0,0
STN,2018,7,9,9/5/2018,405,13:31,10,Suisun Bay (Carquinez St.),2,5.8,27583,16.9,32639,20.4,19.9,19,51,17.5,1,36813,N,61.34,0.07,0.03,0,0,0,0.21,0,0,0,0,0,0,0,0,NA,0,0,0,0
FMWT,2018,3,9,9/6/2018,411,11:00,10,Suisun Bay,4,18.3,17675,10.4,18295,10.8,19.3,NA,54,25.6,1,30227,N,50.36,0,4.67,0,0,0,0.58,0,0.12,0,0,0,0.04,0,0,NA,0,0.16,0,0
FMWT,2018,3,9,9/6/2018,501,12:31,10,Suisun Bay,4,11.9,17559,10.3,17444,10.3,19.3,NA,45,19.5,1,29348,N,48.9,0,0.45,0,0,0,0.22,0,0.1,0,0,0,0,0,0,NA,0,0,0,0.02
FMWT,2018,3,9,9/6/2018,504,14:49,10,Suisun Bay,2,12.5,13838,8,16324,9.5,19.9,NA,57,13.1,1,31069,N,51.76,0,81.75,0,0,0,4.17,0,0,0,0,0,0.04,0,0.08,NA,0,0,0,0
STN,2018,7,9,9/6/2018,501,12:06,10,Suisun Bay,4,9.1,16157,9.4,17260,10.1,19.2,18.9,47,20,1,30529,N,50.87,0,5.41,0,0,0,0.49,0,0,0,0,0,0,0,0,NA,0,0,0,0.02
STN,2018,7,9,9/6/2018,504,14:49,10,Suisun Bay,4,7.6,15004,8.7,16063,9.4,19.5,19.2,50,15.2,1,32220,N,53.68,0,4.21,0,0,0,2.12,0,0,0,0,0,0,0,0,NA,0,0,0,0
FMWT,2018,3,9,9/7/2018,416,9:58,10,Suisun Bay,2,7.6,17321,10.2,18951,11.2,18.9,18.7,37,35.6,1,29008,N,48.33,0,18.04,0,0,0,6,0,0,0,0.5,0.04,0,0,0,NA,0,0,0,0.87
FMWT,2018,3,9,9/7/2018,602,13:09,10,Suisun Bay,4,2.1,17669,10.4,16194,9.5,19.8,20.3,41,33.6,1,24893,N,41.47,0,4,0,0,0,1.86,0,0,0,0,0,1.71,0,0,NA,0,0.05,0,0
FMWT,2018,3,9,9/7/2018,606,12:42,10,Suisun Bay,4,7.6,8569,4.8,10744,6.1,20.7,20.6,34,31.5,1,32004,N,53.32,0,56.9,0,0,0,4.52,0,0,0,0.32,0,0,0,0,NA,0,0.02,0,0
FMWT,2018,3,9,9/7/2018,802,14:45,10,Confluence,4,8.5,3525,1.8,3785,2,20.8,20.8,72,12.7,2,25481,N,42.45,0,18.84,0,0,0,1.76,0,0,0.38,0.25,0,0,0,27.51,NA,0.38,0,0,0
STN,2018,7,9,9/7/2018,411,8:37,10,Suisun Bay,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,27197,N,45.31,0,0.04,0,0,0,0.51,0,0,0,0,0,0.11,0,0.02,NA,0,0.04,0,0
FMWT,2018,3,9,9/10/2018,508,11:36,10,Confluence,2,12.2,5554,3,6355,3.4,20,19.8,43,25.3,1,26308,N,43.83,0,49.55,0,0,0,1.83,0,0,0,0,0,0,0,0.66,NA,0,0,0,0
FMWT,2018,3,9,9/10/2018,513,13:26,10,Confluence,4,17.7,2355,1.2,4019,2.1,21.1,20.6,64,12.4,2,26832,N,44.71,0,0.69,0,0,0,0.13,0,0,0.07,0,0,0,0,0.38,NA,0,0.02,0,0
FMWT,2018,3,9,9/10/2018,519,10:32,10,Suisun Bay,2,2.7,11126,6.3,11002,6.2,18.9,19.1,32,42.8,1,28094,N,46.81,0,0.64,0,0,0,1.47,0,0,0,0,0,1.67,0,0.26,NA,0,0.02,0.11,0.11
STN,2018,7,9,9/10/2018,Honk,10:12,10,Suisun Bay (Honker),2,1.2,11997,6.8,12150,6.9,19.8,19.4,33,39.2,1,18195,N,30.32,0,2.9,0,0,0,1.58,0,0.13,0,0,0,0,0,2.9,NA,0,0.13,0.92,0
FMWT,2018,3,9,9/11/2018,704,7:49,10,Sac River,2,11,4334,2.3,4422,2.3,19.7,19.3,62,14.2,1,27269,N,45.43,0,30.24,0,0,0,0.49,0,0,0.18,0,0,0,0,13.38,NA,0,0,0,0
FMWT,2018,3,9,9/11/2018,706,8:40,10,Sac River,2,9.8,756,0.4,1186,0.6,20.5,19.7,69,14.6,1,23632,N,39.37,0,36.91,0,0,0,0,0,0,0,0,0,0,0,31.29,NA,0,0,0,0
FMWT,2018,3,9,9/11/2018,707,9:31,10,Sac River,2,9.8,254,0.1,272,0.1,20.9,20.3,84,9.5,1,23176,N,38.61,0,1.11,0,0,0,0,0,0,0,0,0,0,0,27.14,NA,0.21,0,0,0
STN,2018,7,9,9/13/2018,520,8:28,10,Suisun Bay,4,13.7,6381,3.5,4616,2.4,19.1,19.2,89,23.4,1,31732,N,52.87,0,1.19,0,0,0,0.08,0,0,0,0,0,0,0.02,0.55,NA,0,0,0,0
FMWT,2018,3.5,9,9/24/2018,513,9:02,10,Confluence,2,13.1,4656,2.5,6006,3.2,19.2,19.3,NA,11.5,2,27305,Y,45.49,0,10.11,0,0,0,0.75,0,0,0.3,0,0,0,0,10.46,NA,0,0,0,0
FMWT,2018,3.5,9,9/24/2018,704,8:31,10,Sac River,2,9.4,1294,0.6,1682,0.8,19.5,19.3,66,18.4,1,27305,Y,45.49,0,0.24,0,0,0,0.02,0,0,0,0,0,0,0,27.01,NA,0,0,0,0
FMWT,2018,3.5,9,9/24/2018,706,8:07,10,Sac River,2,9.1,165,0.1,109,0,19.4,18.9,79,14.4,1,27305,Y,45.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1241.72,NA,0.46,0,0,0
FMWT,2018,3.5,9,9/24/2018,802,9:25,10,Confluence,2,6.1,4120,2.2,4115,2.2,19.8,19.6,71,16.2,1,27305,Y,45.49,0,8.73,0,0,0,0.33,0,0,0.27,0,0,0,0,4.39,NA,0.16,0,0.05,0.05
STN,2018,7.5,9,9/24/2018,520,9:51,10,Suisun Bay,2,12.2,3753,2,3789,2,19.8,19.7,94,13.6,1,27305,Y,45.49,0,0.31,0,0,0,0.04,0,0,0,0,0,0,0,0.47,NA,0.08,0,0,0
STN,2018,7.5,9,9/24/2018,609,11:45,10,Suisun Bay (Mont. Sl.),2,7.6,9116,5.1,8990,5,21.3,20.6,50,21.4,1,27305,Y,45.49,0,4.24,0,0,0,2.35,0,0,0,0,0,0,0,1.45,NA,0,0,0,0
STN,2018,7.5,9,9/24/2018,610,10:54,10,Suisun Bay (Mont. Sl.),2,4.3,7624,4.2,7599,4.2,20.3,20.5,62,16.9,2,27305,Y,45.49,0,1.19,0,0,0,0.73,0,0,0.46,0,0,0,0,1.9,NA,0,0,0,0
STN,2018,7.5,9,9/24/2018,Mont,11:19,10,Suisun Bay (Mont. Sl.),2,2.4,7919,4.4,7146,3.9,20.5,20.6,60,17.9,1,27305,Y,45.49,0,0.99,0,0,0,0.24,0,0,0,0,0,0,0,0.06,NA,0,0,0,0
FMWT,2018,3.5,9,9/25/2018,416,10:10,10,Suisun Bay,2,8.8,18080,10.7,19770,11.8,18.7,18.3,22,35.3,1,27305,Y,45.49,0,0.13,0,0,0,0.09,0,0,0,0,0,0,0,0,NA,0,0,0,0
FMWT,2018,3.5,9,9/25/2018,508,8:09,10,Confluence,2,12.2,10500,5.9,9000,5,18.5,19.2,30,19.3,1,27305,Y,45.49,0,33.06,0,0,0,1.43,0,0.18,0,0,0,0.2,0,1.96,NA,0,0,0,0
FMWT,2018,3.5,9,9/25/2018,519,9:04,10,Suisun Bay,2,1.5,12249,7,13735,7.9,18.2,18.3,10,47.9,1,27305,Y,45.49,0,2.11,0,0,0,0.57,0,0,0.05,0,0,0,0,0,NA,0,0.05,0,0.05
STN,2018,7.5,9,9/25/2018,411,10:38,10,Suisun Bay,2,2.4,17204,10.1,17855,10.5,19.3,18.9,35,18.2,1,27305,Y,45.49,0,0,0,0,0,0.02,0,0,0,0,0,0.04,0,0,NA,0,0.04,0,0
STN,2018,7.5,9,9/25/2018,501,9:36,10,Suisun Bay,2,11.3,14666,8.5,15170,8.8,19.1,18.8,19,28.8,1,27305,Y,45.49,0,0.81,0,0,0,0.24,0,0.02,0,0,0,0,0,0,NA,0,0.11,0,0
STN,2018,7.5,9,9/25/2018,504,11:07,10,Suisun Bay,2,7.9,11416,6.5,12340,7,19.5,19.2,50,11,1,27305,Y,45.49,0,0.09,0,0,0,0.29,0,0,0,0,0,0,0.04,0,NA,0,0,0,0
STN,2018,7.5,9,9/25/2018,Honk,8:39,10,Suisun Bay (Honker),2,0.9,10490,5.9,10475,5.9,18.3,18.2,12,69.5,1,27305,Y,45.49,0,0.22,0,0,0,0.4,0,0,0,0,0,0,0,0.2,NA,0,0,0,0.2
STN,2018,8,10,10/2/2018,405,12:57,10,Suisun Bay (Carquinez St.),2,3,26819,16.4,30342,18.8,19.9,19.4,82,7.8,1,24771,N,41.27,7.66,0.07,0.05,0,0,0.94,0,0,0,0,0,0,0,0,NA,0,0.75,0.02,0
STN,2018,8,10,10/3/2018,501,10:06,10,Suisun Bay,4,10.4,17266,10.1,18150,10.7,19.4,19.4,56,14.3,1,29206,N,48.66,0,2.03,0,0,0,1.32,0,0,0,0,0,0.41,0,0,NA,0,0,0,0
STN,2018,8,10,10/3/2018,504,11:55,10,Suisun Bay,4,8.8,17264,10.1,18084,10.7,19.8,19.6,62,18.9,1,25346,N,42.23,0,2.13,0,0,0,0.85,0,0,0,0,0,0.02,0,0.02,NA,0,0.05,0,0
FMWT,2018,4,10,10/4/2018,416,10:09,10,Suisun Bay,4,9.1,21924,13.2,17954,10.6,19.5,19.4,34,20.1,1,42004,N,69.98,0.33,4.3,0,0,0,1.29,0,0,0,0,0.04,0.1,0,0,NA,0,0,0,0
FMWT,2018,4,10,10/4/2018,606,NA,10,Suisun Bay,2,9.1,15830,9.2,14711,8.5,19.8,19.6,41,17.6,1,30512,N,50.84,0,12.55,0,0,0,6.02,0,0,0,0.04,0,0,0,0,NA,0,0,0,0
FMWT,2018,4,10,10/4/2018,802,15:55,10,Confluence,2,7.3,7143,3.9,7711,4.2,19.9,19.9,56,8.6,1,27906,N,46.49,0,0.17,0,0,0,0.13,0,0.02,0,0,0,0,0,0,NA,0,0,0,0
STN,2018,8,10,10/4/2018,411,9:16,10,Suisun Bay,4,3.7,20324,12.1,18542,11,19.3,19.2,34,17.1,1,31642,Y,52.72,0.19,0.64,0,0,0,2.16,0.02,0.17,0,0,0,0.3,0.02,0.08,NA,0,0.08,0.02,0.72
FMWT,2018,4,10,10/5/2018,508,12:10,10,Confluence,4,11.3,8673,4.8,9106,5.1,19.6,19.5,56,13,2,40749,N,67.89,0,0.03,0,0,0,0.01,0,0,0.03,0,0,0,0,0.68,NA,0.09,0,0,0
FMWT,2018,4,10,10/5/2018,513,14:32,10,Confluence,4,13.1,9195,5.1,9537,5.3,19.7,19.6,69,9.3,1,38446,N,64.06,0,0.17,0,0,0,0.16,0,0,0,0,0,0,0,0.05,NA,0.02,0,0,0.02
FMWT,2018,4,10,10/5/2018,519,10:32,10,Suisun Bay,4,2.4,9257,5.2,10465,5.9,19.4,19,68,15.6,1,29195,N,48.64,0,0.08,0,0,0,0.19,0,0,0.02,0,0,0,0,1.6,NA,0,0.04,0,0
STN,2018,8,10,10/5/2018,Honk,10:53,10,Suisun Bay (Honker),4,2.4,12530,7.2,13212,7.6,18.8,18.9,38,19,1,24536,N,40.88,0,0.02,0,0,0,0.17,0,0,0,0,0,0,0,0,NA,0,0,0,0
FMWT,2018,4,10,10/8/2018,704,8:49,10,Sac River,2,9.4,1616,0.8,1737,0.9,18.6,18.6,54,20.7,1,28795,N,47.98,0,2.36,0,0,0,0.04,0,0,0.08,0,0,0,0,12.09,NA,0,0,0,0
FMWT,2018,4,10,10/8/2018,706,9:55,10,Sac River,2,9.4,249,0.1,251,0.1,18.7,18.7,108,8.3,1,36249,N,60.4,0,0,0,0,0,0,0,0,0,0,0,0,0,16.29,NA,0.13,0,0,0
FMWT,2018,4,10,10/8/2018,707,10:19,10,Sac River,2,9.8,150,0.1,154,0.1,18.9,18.8,120,5,1,22612,N,37.67,0,0,0,0,0,0,0,0,0.11,0.11,0,0,0,12.95,NA,1.01,0.11,0,0
FMWT,2018,4,10,10/9/2018,602,9:58,10,Suisun Bay,2,1.5,16636,9.7,16397,9.6,18.8,19.3,70,NA,1,33387,N,55.63,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.02,NA,0,0,0,0
STN,2018,8,10,10/9/2018,520,9:11,10,Suisun Bay,2,12.8,5671,3,5628,3,18.6,18.5,40,NA,1,31758,N,52.91,0,0.43,0,0,0,0.3,0,0,0.13,0,0,0,0,1.74,NA,0.08,0,0,0
STN,2018,8,10,10/9/2018,609,10:29,10,Suisun Bay (Mont. Sl.),2,7,15267,8.9,15498,9,19.2,19.3,23,NA,1,30170,N,50.27,0,27.45,0,0,0,2.9,0,0,0,0,0,0.16,0,0.04,NA,0,0.04,0,0
STN,2018,8,10,10/9/2018,610,11:37,10,Suisun Bay (Mont. Sl.),2,4,9466,5.3,9543,5.3,19.6,19.4,42,NA,1,30757,N,51.25,0,13.31,0,0,0.02,1.13,0,0,0.02,0.06,0,0,0,2.81,NA,0,0.04,0,0
STN,2018,8,10,10/9/2018,Mont,11:12,10,Suisun Bay (Mont. Sl.),2,3,11685,6.6,11864,6.8,18.8,18.6,38,NA,1,32140,N,53.55,0,0.93,0,0,0,0.62,0,0,0,0,0,0.02,0,0.06,NA,0,0,0,0
FMWT,2018,4.5,10,10/22/2018,513,9:06,10,Confluence,2,12.8,8544,4.7,4276,2.3,16.8,16.4,99,10.8,1,32816,N,54.68,0,2.49,0,0,0,1.34,0,0,0.29,0,0,0,0,8.41,NA,0,0.07,0,0
FMWT,2018,4.5,10,10/22/2018,704,13:32,10,Sac River,2,11,5927,3.2,6210,3.4,17.6,17.6,87,17.3,1,29233,N,48.71,0,56.5,0,0,0,2.3,0,0.02,0,0,0,0,0,17.52,NA,0,0,0,0
FMWT,2018,4.5,10,10/22/2018,706,13:55,10,Sac River,2,9.1,2219,1.1,2956,NA,18.2,17.9,73,22.5,1,32162,N,53.59,0,32.45,0,0,0,0,0,0,0,0,0,0,0,63.3,NA,0,0,0,0
FMWT,2018,4.5,10,10/22/2018,802,8:35,10,Confluence,4,6.1,6918,3.8,6899,3.8,17.3,16.8,71,10,1,37649,N,62.73,0,0.41,0,0,0,0.03,0,0,0.19,0,0,0,0,1.94,NA,0,0,0,0
STN,2018,8.5,10,10/22/2018,520,9:45,10,Suisun Bay,2,11.9,6512,3.5,6616,3.6,17.2,16.9,114,11.7,1,29193,N,48.64,0,1.27,0,0,0,0.08,0,0,0.04,0,0,0,0,1.11,NA,0,0,0,0
STN,2018,8.5,10,10/22/2018,609,12:24,10,Suisun Bay (Mont. Sl.),4,11.3,9773,5.5,9860,5.5,17.7,17.7,51,21.5,1,25663,N,42.76,0,8.26,0,0,0,1.1,0,0.19,0,0,0,0.07,0,1.78,NA,0,0,0,0
STN,2018,8.5,10,10/22/2018,610,11:31,10,Suisun Bay (Mont. Sl.),4,5.2,10019,5.6,10056,5.6,17.4,17.2,46,18.5,1,26358,N,43.92,0,0.16,0,0,0,4.94,0.05,0,0,0,0,0,0,0,NA,0,0,0,0
STN,2018,8.5,10,10/22/2018,Mont,11:58,10,Suisun Bay (Mont. Sl.),4,3.7,9385,5.2,9558,5.3,17.6,17.4,50,15.9,1,28052,N,46.74,0,0.15,0,0,0,0.36,0,0.02,0,0,0,0,0,0.02,NA,0,0,0,0
FMWT,2018,4.5,10,10/23/2018,416,11:07,10,Suisun Bay,4,10.1,22483,13.5,24012,14.5,16.6,16.2,62,23.4,1,20135,N,33.55,2.74,17.1,0,0,0,1.37,0,0,0,0.06,0.12,0,0,0,NA,0,0,0,0.03
FMWT,2018,4.5,10,10/23/2018,519,9:16,10,Suisun Bay,2,0.9,16032,9.4,15991,9.3,15.9,15.7,49,42.7,1,24846,N,41.4,0,0.12,0,0,0,0.65,0,0,0.02,0,0,0.34,0,0.6,NA,0,0.17,0,0
FMWT,2018,4.5,10,10/23/2018,602,10:33,10,Suisun Bay,4,1.5,21022,12.6,21060,12.6,16.6,16.4,53,45.7,1,20739,N,34.55,0,0.17,0,0,0,0.26,0,0,0,0.78,0,0,0,0,NA,0,0,0.09,0.03
STN,2018,8.5,10,10/23/2018,411,11:37,10,Suisun Bay,4,6.1,24124,14.6,24545,14.9,17.1,16.7,76,16.3,1,15890,N,26.47,2.61,0.19,0,0,0,3.78,0,0,0,0,0,0,0,0,NA,0,0.11,0,0
STN,2018,8.5,10,10/23/2018,501,9:58,10,Suisun Bay,2,9.1,18256,10.8,19520,11.6,16.6,16.3,60,21.1,1,28629,N,47.7,0.04,0.29,0,0,0,0.73,0,0.04,0,0,0.02,0.06,0,0,NA,0,0.19,0,0
STN,2018,8.5,10,10/23/2018,504,12:08,10,Suisun Bay,4,7,16559,9.7,18234,10.8,17,16.6,62,12.7,1,25104,N,41.83,0,0.02,0,0,0,0.1,0,0,0,0.05,0,0,0,0,NA,0,0.02,0,0.05
