Project,Year,Survey,Month,Date,Station,Time,TowDuration,Region,TideCode,DepthBottom,CondSurf,PPTSurf,CondBott,PPTBott,TempSurf,TempBottom,Secchi,Turbidity,Microcystis,TotalMeter,MeterEstimated,Volume,Acanthomysis_aspera,Hyperacanthomysis_longirostris,Acanthomysis_hwanhaiensis,Alienacanthomysis_macropsis,Deltamysis_holmquistae,Neomysis_kadiakensis,Neomysis_mercedis,Unidentified_Mysid,Americorophium_spinicorne,Americorophium_stimpsoni,Ampelisca_abdita,Corophium_alienense,Crangonyx_sp,Gammarus_daiberi,Grandidierella_japonica,Hyalella_sp,Unidentified_Amphipod,Unidentified_Corophium,Unidentified_Gammarus
STN,2018,8.5,10,10/23/2018,Honk,8:50,10,Suisun Bay (Honker),2,0.9,15287,8.9,14905,8.6,16.2,16.1,40,40.2,1,21703,N,36.16,0,0.19,0,0,0.03,1.24,0,0,0,0,0,0,0,0.77,NA,0,0,0,0
STN,2019,3,7,7/9/2019,MONT,8:13,10,Suisun Bay (Mont. Sl.),4,4.6,1424,0.7,1407,0.7,20.9,20.2,21,71.8,1,37913,N,63.17,0,12.14,0,0,0,0,0,0,0.3,0.08,0,0,0,1.11,0,0,0,0,0
STN,2019,3,7,7/11/2019,HONK,12:09,10,Suisun Bay (Honker),4,1.8,3248,1.7,3080,1.6,21.1,21.5,14,79.6,1,31369,N,52.26,0,22.44,0,0,0,1.93,0,0,0.04,0,0,0,0,0.1,0,0,0,0,0
STN,2019,4,7,7/23/2019,MONT,8:13,10,Suisun Bay (Mont. Sl.),4,3.7,3101,1.6,3071,1.6,22.2,22.1,31,36.8,1,34829,Y,58.03,0,12.25,0,0,0,0.65,0.02,0,0.09,0.03,0,0,0,0.53,0,0,0,0.02,0
STN,2019,4,7,7/24/2019,HONK,11:22,10,Suisun Bay (Honker),2,1.5,2168,1.1,4700,2.5,22,22,36,36.9,1,22639,N,37.72,0,0.66,0,0,0,4.9,0,0,0.03,0.08,0,0,0,0.16,0,0,0,0,0
STN,2019,5,8,8/6/2019,MONT,8:05,10,Suisun Bay (Mont. Sl.),4,3.7,5428,2.9,5269,2.8,22.5,22.2,32,35.1,1,43555,N,72.57,0,57.93,0,0,0,4.13,0,0,0.07,0.06,0,0,0,0.22,0,0,0,0,0
STN,2019,5,8,8/7/2019,HONK,10:13,10,Suisun Bay (Honker),4,1.5,8470,4.7,8332,4.6,21.6,21.3,19,39.1,2,34342,N,57.22,0,0,0,0,0,0.14,0,0.03,0,0,0,0,0,0,0,0,0,0,0.02
STN,2019,6,8,8/20/2019,602,11:30,10,Suisun Bay (Grizzly),2,1.2,8383,4.6,8510,4.7,21.2,21,28,84.3,1,43493,N,72.46,0,1.99,0,0,0,1.55,0,0.03,0,0.08,0,2.18,0,0.8,0,0,0,0.29,0
STN,2019,6,8,8/20/2019,MONT,8:26,10,Suisun Bay (Mont. Sl.),4,3,6592,3.6,6476,3.5,21.4,21.2,57,18,1,43307,N,72.15,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
STN,2019,6,8,8/22/2019,HONK ,8:13,10,Suisun Bay (Honker),4,1.5,2442,1.2,2386,1.2,22,22.1,28,43.8,1,30681,N,51.12,0,4.93,0,0,0,1.53,0,0,0,0.04,0,0,0,0.2,0,0,0,0,0
STN,2019,7,9,9/4/2019,405,13:57,10,Suisun Bay (Carquinez St.),4,3.7,12378,7.1,16624,9.7,22.3,22.1,28,42,1,38436,N,64.04,0,11.87,0,0,0,2.25,0,0,0,0,0,0.02,0,0,0,0,0.08,0,0
FMWT,2019,3,9,9/6/2019,416,8:35,10,Suisun Bay,4,10.7,12045,6.9,12985,7.4,21.2,21,42,21.4,1,33279,N,55.45,0,22.36,0,0,0,0.65,0,0,0.02,0,0.02,0.02,0,0.09,0,0,0,0,0.04
FMWT,2019,3,9,9/6/2019,602,12:33,10,Suisun Bay,2,1.5,8463,4.7,8516,4.7,21.5,21.6,38,28.3,1,42121,N,70.18,0,1.04,0,0,0,0.34,0,0.07,0.13,0.03,0,0.03,0,0.64,0,0,0,0,0.07
FMWT,2019,3,9,9/6/2019,606,11:45,10,Suisun Bay,2,8.5,8060,4.4,7733,4.3,22.3,22,46,26.4,1,39322,N,65.52,0,41.7,0,0,0,2.2,0,0,0.03,0,0,0,0,0.02,0,0,0,0,0
FMWT,2019,3,9,9/6/2019,802,13:30,10,Confluence,2,7,760,0.4,840,0.4,22.5,22.5,62,20.7,1,40876,N,68.1,0,1.09,0,0,0,0,0,0.01,0.01,0,0,0,0,0.91,0,0.04,0,0,0
STN,2019,7,9,9/9/2019,411,10:20,10,Suisun Bay,4,6.1,8738,4.9,8860,4.9,21.3,20.9,62,20.3,1,22871,N,38.11,0,4.46,0,0,0,1.97,0,0,0.03,0,0,0.08,0,0.1,0.05,0,0,0,0.03
STN,2019,7,9,9/9/2019,501,9:47,10,Suisun Bay,4,7.6,4083,2.1,5018,2.7,21.3,21,42,25.8,1,32671,Y,54.43,0,74.87,0,0,0,1.47,0,0,0.04,0.02,0,0.06,0,0.22,0,0,0.06,0,0
STN,2019,7,9,9/9/2019,504,8:52,10,Suisun Bay,4,6.7,1415,0.7,2515,1.3,21.2,20.8,54,20.8,1,32671,Y,54.43,0,5.75,0,0,0,0.59,0,0,0.06,0,0,0,0,0.15,0,0,0,0,0
STN,2019,7,9,9/9/2019,609,11:48,10,Suisun Bay (Mont. Sl.),4,8.5,6862,3.7,6812,3.7,21.7,21.7,45,34.9,1,28339,N,47.22,0,17.47,0,0,0,0.32,0,0,0.08,0,0,0,0,0.28,0,0,0,0.04,0.02
STN,2019,7,9,9/9/2019,HONK,10:06,10,Suisun Bay (Honker),4,1.5,2611,1.3,NA,NA,19.9,NA,8,134,1,32607,N,54.33,0,3.44,0,0,0,0.4,0,0,0.07,0.33,0,0,0,2.69,0,0,0,0,0
FMWT,2019,3,9,9/9/2019,508,11:11,10,Confluence,4,12.2,1015,0.5,NA,NA,21.3,NA,31,22.5,1,34726,N,57.86,0,11.55,0,0,0,0.07,0,0,0.35,0,0,0,0,21.98,0,0,0,0,0
FMWT,2019,3,9,9/9/2019,513,14:24,10,Confluence,4,17.7,1161,0.6,NA,NA,21.4,NA,28,24.1,1,33379,N,55.61,0,19.42,0,0,0,0.07,0,0,0.22,0,0,0,0,47.54,0,0,0,0,0
FMWT,2019,3,9,9/9/2019,519,8:54,10,Suisun Bay,2,2.1,1265,0.6,NA,NA,20,NA,10,NA,2,32671,Y,54.43,0,0.73,0,0,0,0.29,0,0,0.09,0.06,0,0,0,0.33,0,0.02,0,0,0
FMWT,2019,3,9,9/10/2019,704,8:01,10,Sac River,2,10.1,148,0.1,148,0.1,20.3,19.7,74,10.2,1,28482,N,47.45,0,0,0,0,0,0,0,0,0.02,0,0,0,0,5.88,0,0.02,0,0.02,0
FMWT,2019,3,9,9/10/2019,706,14:46,10,Sac River,4,10.1,151,0.1,151,0.1,20.9,20.8,63,11.5,1,27760,N,46.25,0,0.09,0,0,0,0,0,0,0.02,0.13,0,0,0,39.78,0,0,0,0,0
FMWT,2019,3,9,9/10/2019,707,14:20,10,Sac River,4,11,152,0.1,151,0.1,20.8,20.7,66,7.7,1,28071,N,46.77,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0,3.89,0,0.09,0.02,0,0
STN,2019,7.5,9,9/17/2019,411,11:26,10,Suisun Bay,2,6.1,9765,5.5,11258,6.4,21.9,21.7,23,19.2,1,23451,N,39.07,0,9.6,0,0,0,1.71,0,0,0,0,0,0.03,0,0.03,0,0,0.05,0,0.05
STN,2019,7.5,9,9/17/2019,501,10:55,10,Suisun Bay,2,9.8,5766,3.1,5098,2.7,21.6,21.2,22,29.6,1,26829,N,44.7,0,24.94,0,0,0,1.57,0,0,0.04,0.02,0,0.02,0,0.25,0,0,0.04,0,0
STN,2019,7.5,9,9/17/2019,504,10:20,10,Suisun Bay,2,7.6,5327,2.8,5729,3.1,21.7,21.4,28,15.9,1,28868,N,48.1,0,4.28,0,0,0,0.19,0,0.02,0,0,0,0,0,0.23,0,0,0,0,0
STN,2019,7.5,9,9/17/2019,HONK,9:25,10,Suisun Bay (Honker),2,1.2,3133,1.6,2781,1.4,20.3,19.4,10,59.4,1,22578,N,37.62,0,2.47,0,0,0,0.24,0,0.8,0,0,0,0,0,0.11,0,0,0,0,0
FMWT,2019,3.5,9,9/17/2019,416,12:12,10,Suisun Bay,2,9.1,9795,5.5,11987,6.8,22,21.9,35,16.3,1,26502,N,44.16,0,1.88,0,0,0.02,0.11,0,0,0,0,0,0.02,0,0.07,0,0,0.05,0,0.02
FMWT,2019,3.5,9,9/17/2019,508,8:50,10,Confluence,2,10.7,2005,1,2710,1.4,21.2,21.3,20,21.5,1,26819,N,44.68,0,9.02,0,0,0,0.18,0,0,0.18,0.09,0,0,0,4.21,0,0,0,0,0
FMWT,2019,3.5,9,9/17/2019,519,9:50,10,Suisun Bay,4,1.5,7781,4.3,7980,4.4,21.6,20.6,23,24.1,1,29770,N,49.6,0,0.44,0,0,0,0.04,0,0,0.06,0,0,0,0,0.1,0,0,0,0,0.02
FMWT,2019,3.5,9,9/17/2019,602,12:45,10,Suisun Bay,4,8.2,7322,4,7257,4,23,21.8,26,19,1,28574,N,47.61,0,0.23,0,0,0,0.06,0,0,0.02,0,0,4.1,0,0.11,0,0,0,0,0
FMWT,2019,3.5,9,9/17/2019,606,13:30,10,Suisun Bay,2,14,495,0.2,654,0.3,21.4,22.4,63,13,1,26614,N,44.34,0,53.22,0,0,0,0.09,0,0,0.02,0,0,0,0,0.34,0,0,0,0,0
STN,2019,7.5,9,9/18/2019,520,12:40,10,Suisun Bay,2,12.5,566,0.3,539,0.2,21.8,22,82,10.9,1,29897,N,49.81,0,0.5,0,0,0,0,0,0,0.12,0,0,0,0,0.18,0,0,0.02,0,0
STN,2019,7.5,9,9/18/2019,609,10:32,10,Suisun Bay (Mont. Sl.),2,8.8,6971,3.8,2654,1.3,21.3,21.1,48,22.2,1,30226,N,50.36,0,16.52,0,0,0,0.16,0,0,0.04,0,0,0,0,0.32,0,0,0,0,0
STN,2019,7.5,9,9/18/2019,610,9:25,10,Suisun Bay (Mont. Sl.),2,3.7,5281,2.8,4460,2.4,21.4,21.2,52,16.3,1,26903,N,44.82,0,6.43,0,0,0,0.16,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0
STN,2019,7.5,9,9/18/2019,MONT,9:57,10,Suisun Bay (Mont. Sl.),2,4.9,6966,3.8,6814,3.7,21.4,21.3,49,20,1,28067,N,46.76,0,2.44,0,0,0,0.26,0,0,0.04,0,0,0,0,0.09,0,0,0,0,0
FMWT,2019,3.5,9,9/18/2019,513,11:41,10,Confluence,2,1.5,3160,1.6,3174,1.6,20.9,21.4,18,25.7,1,30123,N,50.19,0,1.83,0,0,0,0,0,0,0,0.02,0,0,0.02,0.88,0,0.04,0,0,0
FMWT,2019,3.5,9,9/18/2019,704,7:57,10,Sac River,4,7.6,272,0.1,253,0.1,20.6,20.4,81,9,1,30236,N,50.38,0,0.14,0,0,0,0,0,0.08,0,0.02,0,0,0.02,0.08,0,0,0,0,0
FMWT,2019,3.5,9,9/18/2019,706,8:24,10,Sac River,4,9.1,166,0.1,165,0.1,20.3,20.3,93,7.1,1,27045,N,45.06,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0.18,0,0,0,0,0
FMWT,2019,3.5,9,9/18/2019,802,13:09,10,Confluence,2,6.7,405,0.2,396,0.2,21.7,21.7,92,9.5,1,27974,N,46.61,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0.19,0,0.02,0
STN,2019,8,9,9/30/2019,HONK,10:46,10,Suisun Bay (Honker),3,0.9,4479,2.4,4610,2.4,18,17.4,28,35.4,1,19823,N,33.03,0,0.88,0,0,0,0.24,0,0,0.03,0,0,0,0,0.97,0,0,0,0.03,0
FMWT,2019,4,9,9/30/2019,508,12:12,10,Confluence,3,11.6,1348,0.7,1909,0.9,19.2,18.8,38,27.3,1,30693,N,51.14,0,7.9,0,0,0,0,0,0,0.31,0,0,0,0,26.99,0,0.08,0.08,0.08,0
FMWT,2019,4,9,9/30/2019,513,15:10,10,Confluence,4,14.9,1320,0.6,1403,0.7,19.4,19.2,42,20.6,1,32839,Y,54.71,0,1.01,0,0,0,0,0,0,0,0.04,0,0,0,1.06,0,0.04,0,0,0
FMWT,2019,4,9,9/30/2019,519,10:21,10,Suisun Bay,2,1.8,4124,2.2,4408,2.3,18.6,17.9,40,52.5,1,22515,N,37.51,0,1.65,0,0,0,0.32,0,0,0.03,0,0,0,0,0.29,0,0,0,0,0
FMWT,2019,4,10,10/1/2019,704,8:19,10,Sac River,2,10.1,320,0.1,526,0.2,18.3,17.8,57,16.8,2,31634,N,52.71,0,0.02,0,0,0,0,0,0,0.04,0,0,0,0,0.82,0,0,0,0,0
FMWT,2019,4,10,10/1/2019,706,9:34,10,Sac River,2,9.1,151,0.1,153,0.1,18,17.4,74,12.7,1,32839,Y,54.71,0,0.05,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0
FMWT,2019,4,10,10/1/2019,707,9:57,10,Sac River,2,9.8,110,0,146,0.1,18.2,17.8,117,8.6,2,31066,N,51.76,0,0.02,0,0,0,0,0,0,0,0.04,0,0,0,6.07,0,0.12,0,0,0
STN,2019,8,10,10/7/2019,501,10:34,10,Suisun Bay,4,9.1,6171,3.3,7973,4.4,18.5,18.3,68,17,1,35079,N,58.45,0,0.34,0,0,0,0.09,0,0,0,0,0,0.09,0,0.38,0.02,0,0,0,0
STN,2019,8,10,10/7/2019,504,9:16,10,Suisun Bay,1,6.7,2452,1.2,6797,3.7,18.4,18.3,68,14.5,1,22887,N,38.13,0,13.9,0,0,0,1.57,0,0,0,0,0,0,0,4.8,0.03,0,0,0,0
STN,2019,8,10,10/7/2019,520,8:50,10,Suisun Bay,4,14,344,0.2,NA,NA,19.1,NA,74,7.2,1,36256,N,60.41,0,0,0,0,0,0,0,0,0.1,0,0,0,0.03,1.19,0,2.67,0,0,0
STN,2019,8,10,10/7/2019,609,10:33,10,Suisun Bay (Mont. Sl.),4,10.7,7565,4.2,NA,NA,19.1,NA,24,30.2,1,35252,N,58.73,0,17.23,0,0,0,0.61,0,0,0.05,0,0,0,0,0.26,0,0,0,0,0
STN,2019,8,10,10/7/2019,610,9:35,10,Suisun Bay (Mont. Sl.),4,5.5,1046,0.5,NA,NA,18.5,NA,36,24.3,1,31733,N,52.87,0,1.13,0,0,0,0.02,0,0,0,0,0,0,0,1.23,0,0.04,0,0.02,0
STN,2019,8,10,10/7/2019,MONT,10:08,10,Suisun Bay (Mont. Sl.),4,4.9,4906,2.6,NA,NA,18.9,NA,30,20.8,1,31014,N,51.67,0,63.24,0,0,0,0.31,0,0,0.02,0,0,0,0,0.08,0,0,0,0,0
STN,2019,8,10,10/9/2019,405,14:31,10,Suisun Bay (Carquinez St.),1,3.7,18962,11.2,25603,15.6,19.6,18.9,91,12.3,1,31136,N,51.88,0.17,0.12,0,0,0,0.15,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0.04
STN,2019,8,10,10/10/2019,411,7:39,10,Suisun Bay,2,6.4,10609,6,11475,6.5,17.2,16.3,55,17.2,1,33269,N,55.43,0,0.52,0,0,0,0.29,0,0,0,0,0,0.07,0,0.14,0.04,0,0,0,0.02
FMWT,2019,4,10,10/10/2019,416,9:00,10,Suisun Bay,2,9.8,11916,6.8,12792,7.3,17.4,17.1,53,24.7,1,34608,N,57.66,0,0.73,0,0,0,0.26,0,0,0,0,0,0.82,0,0,0,0,0,0,0.02
FMWT,2019,4,10,10/10/2019,602,11:26,10,Suisun Bay,4,1.8,10118,5.7,9418,5.3,17.6,16.9,33,38.5,1,37942,N,63.22,0,8.04,0,0,0,0.89,0,0,0.03,0,0.02,1.95,0,0.09,0,0,0,0,0
FMWT,2019,4,10,10/10/2019,606,13:02,10,Suisun Bay,4,9.1,8012,4.4,7896,4.4,18,17.5,28,39.3,1,33652,N,56.07,0,16.34,0,0,0,0.86,0,0,0,0,0,0.09,0,0.11,0,0,0,0,0
FMWT,2019,4,10,10/10/2019,802,14:18,10,Confluence,4,8.2,677,0.3,891,0.4,18,17.9,46,22,2,32111,N,53.5,0,0.32,0,0,0,0,0,0,0.22,0,0,0,0,10.92,0,0.22,0,0,0
STN,2019,8.5,10,10/22/2019,411,10:56,10,Suisun Bay,4,6.1,10734,6.1,15106,8.8,17.5,17.6,45,11.5,1,41259,N,68.74,0,0,0,0,0,0.01,0,0,0,0,0,0.12,0,0,0.01,0,0,0,0
STN,2019,8.5,10,10/22/2019,501,10:25,10,Suisun Bay,4,8.2,7143,3.9,8022,4.4,17.2,17.3,70,15.5,1,34608,N,57.66,0,1.39,0,0,0,0.43,0,0,0,0,0,0.12,0,0.23,0.02,0,0,0,0
STN,2019,8.5,10,10/22/2019,504,9:57,10,Suisun Bay,4,6.7,3527,1.8,4864,2.6,17.1,17.3,47,16.3,1,36107,N,60.16,0,0.33,0,0,0,0.25,0,0,0.02,0,0,0.02,0,0.58,0,0,0,0,0
STN,2019,8.5,10,10/22/2019,HONK,9:22,10,Suisun Bay (Honker),4,1.5,1368,0.7,2823,1.4,16.8,16.9,27,21.6,1,10473,N,17.45,0,0.06,0,0,0,0,0,0,0.06,0,0,0,0,2.92,0,0,0,0,0
FMWT,2019,4.5,10,10/22/2019,416,12:12,10,Suisun Bay,4,10.4,16782,9.8,20312,12.1,17.8,17.7,60,8.2,1,19690,N,32.81,0,2.04,0,0,0,0.21,0,0,0,0,0,0.15,0,0,0.03,0,0.03,0,0
FMWT,2019,4.5,10,10/22/2019,508,8:22,10,Confluence,4,11.6,402,0.2,527,0.2,16.8,16.9,64,9.6,1,33456,N,55.74,0,14.42,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0
FMWT,2019,4.5,10,10/22/2019,519,8:57,10,Suisun Bay,4,1.8,9500,5.3,9321,5.2,18.5,17,43,14.3,1,29698,N,49.48,0,0.16,0,0,0,0.04,0,0,0.02,0,0,0,0,1.31,0,0,0,0,0
FMWT,2019,4.5,10,10/22/2019,602,12:25,10,Suisun Bay,1,7.9,6407,3.5,7429,4.1,18,18.8,44,17,1,31458,N,52.41,0,0.21,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
FMWT,2019,4.5,10,10/22/2019,606,13:00,10,Suisun Bay,4,13.4,1193,0.6,1290,0.6,17.7,18.1,52,12.6,1,35417,N,59.01,0,0.42,0,0,0,0,0,0,0,0,0,0.07,0,0.03,0,0,0,0,0
STN,2019,8.5,10,10/23/2019,520,13:04,10,Suisun Bay,4,12.2,1034,0.5,1051,0.5,18.4,18.3,69,12.4,1,29804,N,49.66,0,1.35,0,0,0,0,0,0,0.02,0,0,0,0,0.42,0,0.04,0,0,0
STN,2019,8.5,10,10/23/2019,609,10:53,10,Suisun Bay (Mont. Sl.),4,7.9,7175,3.9,7021,3.8,18.2,18.3,26,23,1,27219,N,45.35,0,13.83,0,0,0,0.2,0,0.13,0.07,0,0,0.02,0,0.31,0,0,0,0,0
STN,2019,8.5,10,10/23/2019,610,9:45,10,Suisun Bay (Mont. Sl.),4,4.6,1341,0.6,1443,0.7,17.2,17.2,39,15.1,1,34242,N,57.05,0,0.14,0,0,0,0.05,0,0,0,0,0,0,0,0.11,0,0,0,0,0
STN,2019,8.5,10,10/23/2019,MONT,10:12,10,Suisun Bay (Mont. Sl.),4,3.7,4786,2.5,4589,2.4,17.7,17.7,29,20.3,1,32758,N,54.58,0,13.39,0,0,0,0.51,0,0,0,0,0,0,0,0.18,0,0,0,0,0
FMWT,2019,4.5,10,10/23/2019,513,12:06,10,Confluence,4,13.7,1065,0.5,1016,0.5,16.9,17.8,31,23.3,1,29866,N,49.76,0,13.02,0,0,0,0.03,0,0,0,0,0,0.08,0,14.87,0,0,0,0,0
FMWT,2019,4.5,10,10/23/2019,704,8:20,10,Sac River,4,10.1,139,0.1,121,0,16.6,16.7,128,4.3,1,32621,N,54.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMWT,2019,4.5,10,10/23/2019,706,7:57,10,Sac River,4,8.5,157,0.1,270,0.1,16.4,16.5,153,3.6,1,33300,N,55.48,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
FMWT,2019,4.5,10,10/23/2019,802,13:30,10,Confluence,4,7.3,590,0.3,531,0.2,18.2,18.6,49,12.4,1,31337,N,52.21,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0.04,4.08,0,0.02,0,0,0
